"wave","item_id","instrument","variable","value_type","allowed_codes","minimum","maximum","required_if","label","metadata_version"
2019,"EMP","person","employment_status","categorical","employed|unemployed|education|retired|not_in_labor_force",,,"TRUE","Current employment status","v1"
2019,"INC","person","income_raw","double",,0,25000,"employment_status == employed","Monthly labor income","v1"
2019,"LSAT","person","life_satisfaction","integer",,0,10,"TRUE","Overall life satisfaction","v1"
2019,"TRN","person","training_hours","double",,0,60,"employment_status in {employed,education}","Training hours in last four weeks","v1"
2020,"EMP","person","employment_status","categorical","employed|unemployed|education|retired|not_in_labor_force",,,"TRUE","Current employment status","v1"
2020,"INC","person","income_raw","double",,0,25000,"employment_status == employed","Monthly labor income","v1"
2020,"LSAT","person","life_satisfaction","integer",,0,10,"TRUE","Overall life satisfaction","v1"
2020,"TRN","person","training_hours","double",,0,60,"employment_status in {employed,education}","Training hours in last four weeks","v1"
2021,"EMP","person","employment_status","categorical","employed|unemployed|education|retired|not_in_labor_force",,,"TRUE","Current employment status","v2"
2021,"INC","person","income_raw","double",,0,25000,"employment_status == employed","Monthly labor income","v2"
2021,"LSAT","person","life_satisfaction","integer",,0,10,"TRUE","Overall life satisfaction","v2"
2021,"TRN","person","training_hours","double",,0,80,"employment_status in {employed,education}","Training hours in last four weeks","v2"
2022,"EMP","person","employment_status","categorical","employed|unemployed|education|retired|not_in_labor_force",,,"TRUE","Current employment status","v2"
2022,"INC","person","income_raw","double",,0,25000,"employment_status == employed","Monthly labor income","v2"
2022,"LSAT","person","life_satisfaction","integer",,0,10,"TRUE","Overall life satisfaction","v2"
2022,"TRN","person","training_hours","double",,0,80,"employment_status in {employed,education}","Training hours in last four weeks","v2"
2019,"EMP","person","employment_status","categorical","employed|unemployed|education|retired|not_in_labor_force",,,"TRUE","Current employment status","v1"
