"hid","wave","region4","hhsize_reported","response_status","household_origin","move_event_flag","hh_xs_weight"
"H0001",2019,"west",4,"interviewed","baseline",0,99.350499
"H0002",2019,"east",1,"interviewed","baseline",0,67.613709
"H0003",2019,"north",2,"interviewed","baseline",0,62.177937
"H0004",2019,"north",3,"interviewed","baseline",0,67.387047
"H0005",2019,"north",3,"interviewed","baseline",0,83.473661
"H0006",2019,"north",1,"interviewed","baseline",0,109.804057
"H0007",2019,"north",1,"interviewed","baseline",0,80.011207
"H0008",2019,"north",4,"interviewed","baseline",0,68.951641
"H0009",2019,"west",4,"interviewed","baseline",0,71.307083
"H0010",2019,"east",4,"interviewed","baseline",0,71.328211
"H0011",2019,"east",2,"interviewed","baseline",0,73.679993
"H0012",2019,"east",2,"interviewed","baseline",0,64.675057
"H0013",2019,"south",3,"interviewed","baseline",0,115.221316
"H0014",2019,"west",3,"interviewed","baseline",0,87.942323
"H0015",2019,"south",1,"interviewed","baseline",0,106.023786
"H0016",2019,"north",1,"interviewed","baseline",0,111.637047
"H0017",2019,"south",2,"interviewed","baseline",0,112.738694
"H0018",2019,"east",1,"interviewed","baseline",0,65.006215
"H0019",2019,"south",4,"interviewed","baseline",0,78.931579
"H0020",2019,"east",2,"interviewed","baseline",0,68.169012
"H0021",2019,"east",1,"interviewed","baseline",0,66.14585
"H0022",2019,"north",3,"interviewed","baseline",0,75.088049
"H0023",2019,"north",2,"interviewed","baseline",0,83.646835
"H0024",2019,"east",2,"interviewed","baseline",0,115.3474
"H0025",2019,"south",3,"interviewed","baseline",0,99.044521
"H0026",2019,"west",2,"interviewed","baseline",0,67.075025
"H0027",2019,"east",2,"interviewed","baseline",0,73.621855
"H0028",2019,"west",2,"interviewed","baseline",0,62.265956
"H0029",2019,"south",2,"interviewed","baseline",0,79.593676
"H0030",2019,"south",2,"interviewed","baseline",0,68.881401
"H0031",2019,"east",2,"interviewed","baseline",0,66.005044
"H0032",2019,"west",2,"interviewed","baseline",0,78.594771
"H0033",2019,"south",1,"interviewed","baseline",0,92.78979
"H0034",2019,"north",4,"interviewed","baseline",0,77.131125
"H0035",2019,"north",2,"interviewed","baseline",0,80.537996
"H0036",2019,"south",4,"interviewed","baseline",0,81.940197
"H0037",2019,"east",1,"interviewed","baseline",0,88.365985
"H0038",2019,"east",4,"interviewed","baseline",0,105.700318
"H0039",2019,"east",1,"interviewed","baseline",0,78.829037
"H0040",2019,"south",2,"interviewed","baseline",0,101.596697
"H0041",2019,"west",2,"interviewed","baseline",0,108.970598
"H0042",2019,"west",1,"interviewed","baseline",0,64.501402
"H0043",2019,"south",1,"interviewed","baseline",0,70.306475
"H0044",2019,"north",1,"interviewed","baseline",0,86.237083
"H0045",2019,"north",2,"interviewed","baseline",0,101.547294
"H0046",2019,"west",1,"interviewed","baseline",0,95.156603
"H0047",2019,"west",2,"interviewed","baseline",0,88.079115
"H0048",2019,"east",2,"interviewed","baseline",0,111.768843
"H0049",2019,"west",2,"interviewed","baseline",0,94.475015
"H0050",2019,"north",2,"interviewed","baseline",0,79.31158
"H0051",2019,"west",3,"interviewed","baseline",0,62.45992
"H0052",2019,"west",2,"interviewed","baseline",0,71.03479
"H0053",2019,"west",2,"interviewed","baseline",0,64.500396
"H0054",2019,"south",1,"interviewed","baseline",0,75.765031
"H0055",2019,"east",2,"interviewed","baseline",0,94.144166
"H0056",2019,"north",3,"interviewed","baseline",0,61.82162
