"pid","wave","item_id","value","answer_status","missing_code","source_mode","answered"
"P000001",2019,"EMP","retired","answered",,"paper",1
"P000001",2019,"INC",,"not_applicable","not_applicable","paper",0
"P000001",2019,"LSAT","7","answered",,"paper",1
"P000001",2019,"TRN",,"not_applicable","not_applicable","paper",0
"P000002",2019,"EMP","employed","answered",,"phone",1
"P000002",2019,"INC","2590","answered",,"phone",1
"P000002",2019,"LSAT","7","answered",,"phone",1
"P000002",2019,"TRN",,"no_answer","no_answer","phone",0
"P000003",2019,"EMP","employed","answered",,"phone",1
"P000003",2019,"INC","940","answered",,"phone",1
"P000003",2019,"LSAT","6","answered",,"phone",1
"P000003",2019,"TRN","7","answered",,"phone",1
"P000004",2019,"EMP","employed","answered",,"web",1
"P000004",2019,"INC","1170","answered",,"web",1
"P000004",2019,"LSAT","6","answered",,"web",1
"P000004",2019,"TRN","3","answered",,"web",1
"P000005",2019,"EMP","not_in_labor_force","answered",,"web",1
"P000005",2019,"INC",,"not_applicable","not_applicable","web",0
"P000005",2019,"LSAT","6","answered",,"web",1
"P000005",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000006",2019,"EMP","unemployed","answered",,"web",1
"P000006",2019,"INC",,"not_applicable","not_applicable","web",0
"P000006",2019,"LSAT","6","answered",,"web",1
"P000006",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000007",2019,"EMP","education","answered",,"web",1
"P000007",2019,"INC",,"not_applicable","not_applicable","web",0
"P000007",2019,"LSAT","6","answered",,"web",1
"P000007",2019,"TRN","13","answered",,"web",1
"P000008",2019,"EMP","retired","answered",,"web",1
"P000008",2019,"INC",,"not_applicable","not_applicable","web",0
"P000008",2019,"LSAT","6","answered",,"web",1
"P000008",2019,"TRN",,"not_applicable","not_applicable","web",0
"P000009",2019,"EMP","employed","answered",,"web",1
"P000009",2019,"INC","2310","answered",,"web",1
"P000009",2019,"LSAT","7","answered",,"web",1
"P000009",2019,"TRN","3","answered",,"web",1
"P000010",2019,"EMP","retired","answered",,"web",1
