"pid","wave","hid","age","employment_status","response_mode","response_status","moved_since_prior_wave","income_raw","income_final","income_imp","income_missing_code","person_xs_weight","long_weight_2019_2022"
"P000001",2019,"H0001",67,"retired","paper","interviewed",0,,0,0,"not_applicable",92.445012,117.60683
"P000002",2019,"H0001",32,"employed","phone","interviewed",0,2590,2590,0,,92.445012,117.60683
"P000003",2019,"H0001",18,"employed","phone","interviewed",0,940,940,0,,92.445012,117.60683
"P000004",2019,"H0001",28,"employed","web","interviewed",0,1170,1170,0,,92.445012,117.60683
"P000005",2019,"H0002",55,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",62.91413,80.038189
"P000006",2019,"H0003",65,"unemployed","web","interviewed",0,,0,0,"not_applicable",57.856178,73.603557
"P000007",2019,"H0003",21,"education","web","interviewed",0,,0,0,"not_applicable",57.856178,73.603557
"P000008",2019,"H0004",75,"retired","web","interviewed",0,,0,0,"not_applicable",62.703222,79.769877
"P000009",2019,"H0004",48,"employed","web","interviewed",0,2310,2310,0,,62.703222,79.769877
"P000010",2019,"H0004",68,"retired","web","interviewed",0,,0,0,"not_applicable",62.703222,79.769877
"P000011",2019,"H0005",18,"education","web","interviewed",0,,0,0,"not_applicable",77.671715,98.812515
"P000012",2019,"H0005",61,"employed","web","interviewed",0,1820,1820,0,,77.671715,98.812515
"P000013",2019,"H0005",56,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",77.671715,98.812515
"P000014",2019,"H0006",35,"unemployed","phone","interviewed",0,,0,0,"not_applicable",102.171982,129.981301
"P000015",2019,"H0007",69,"retired","paper","interviewed",0,,0,0,"not_applicable",74.449923,94.713811
"P000016",2019,"H0008",21,"education","phone","interviewed",0,,0,0,"not_applicable",64.159067,
"P000017",2019,"H0008",67,"retired","web","interviewed",0,,0,0,"not_applicable",64.159067,81.621975
"P000018",2019,"H0008",63,"unemployed","phone","interviewed",0,,0,0,"not_applicable",64.159067,81.621975
"P000019",2019,"H0008",71,"retired","web","interviewed",0,,0,0,"not_applicable",64.159067,81.621975
"P000020",2019,"H0009",21,"education","web","interviewed",0,,0,0,"not_applicable",66.350791,
"P000021",2019,"H0009",76,"retired","phone","interviewed",0,,0,0,"not_applicable",66.350791,84.410246
"P000022",2019,"H0009",47,"employed","web","interviewed",0,2610,2610,0,,66.350791,84.410246
"P000023",2019,"H0009",24,"employed","web","interviewed",0,1680,1680,0,,66.350791,
"P000024",2019,"H0010",36,"unemployed","web","interviewed",0,,0,0,"not_applicable",66.37045,84.435256
"P000025",2019,"H0010",28,"unemployed","web","interviewed",0,,0,0,"not_applicable",66.37045,84.435256
"P000026",2019,"H0010",76,"retired","phone","interviewed",0,,0,0,"not_applicable",66.37045,84.435256
"P000027",2019,"H0010",44,"employed","web","interviewed",0,1720,1720,0,,66.37045,84.435256
"P000028",2019,"H0011",56,"employed","web","interviewed",0,1930,1930,0,,68.558769,87.219194
"P000029",2019,"H0011",31,"employed","web","interviewed",0,4670,4670,0,,68.558769,87.219194
"P000030",2019,"H0012",27,"unemployed","phone","interviewed",0,,0,0,"not_applicable",60.179733,76.55954
"P000031",2019,"H0012",66,"unemployed","web","interviewed",0,,0,0,"not_applicable",60.179733,
"P000032",2019,"H0013",62,"unemployed","paper","interviewed",0,,0,0,"not_applicable",107.212707,136.394018
"P000033",2019,"H0013",38,"unemployed","web","interviewed",0,,0,0,"not_applicable",107.212707,
"P000034",2019,"H0013",25,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",107.212707,136.394018
"P000035",2019,"H0014",55,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",81.829777,104.102325
"P000036",2019,"H0014",25,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",81.829777,104.102325
"P000037",2019,"H0014",48,"employed","web","interviewed",0,1180,1180,0,,81.829777,
"P000038",2019,"H0015",45,"employed","web","interviewed",0,2660,2660,0,,98.654464,125.506379
"P000039",2019,"H0016",45,"employed","web","interviewed",0,1860,1860,0,,103.877568,132.151115
"P000040",2019,"H0017",60,"employed","web","interviewed",0,,2660,1,"no_answer",104.902643,
"P000041",2019,"H0017",68,"retired","phone","interviewed",0,,0,0,"not_applicable",104.902643,133.455198
"P000042",2019,"H0018",61,"not_in_labor_force","phone","interviewed",0,,0,0,"not_applicable",60.487873,76.95155
"P000043",2019,"H0019",18,"employed","web","interviewed",0,3090,3090,0,,73.445336,93.435795
"P000044",2019,"H0019",23,"education","phone","interviewed",0,,0,0,"not_applicable",73.445336,93.435795
"P000045",2019,"H0019",71,"retired","web","interviewed",0,,0,0,"not_applicable",73.445336,93.435795
"P000046",2019,"H0019",18,"employed","web","interviewed",0,2090,2090,0,,73.445336,93.435795
"P000047",2019,"H0020",78,"retired","web","interviewed",0,,0,0,"not_applicable",63.430835,80.695532
"P000048",2019,"H0020",59,"employed","phone","interviewed",0,3020,3020,0,,63.430835,80.695532
"P000049",2019,"H0021",27,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",61.548296,78.300601
"P000050",2019,"H0022",78,"retired","paper","interviewed",0,,0,0,"not_applicable",69.868955,88.885989
"P000051",2019,"H0022",47,"unemployed","phone","interviewed",0,,0,0,"not_applicable",69.868955,88.885989
"P000052",2019,"H0022",51,"employed","web","interviewed",0,760,760,0,,69.868955,88.885989
"P000053",2019,"H0023",56,"employed","phone","interviewed",0,2200,2200,0,,77.832852,99.017511
"P000054",2019,"H0023",31,"employed","web","interviewed",0,860,860,0,,77.832852,99.017511
"P000055",2019,"H0024",60,"employed","web","interviewed",0,,1720,1,"no_answer",107.330027,136.54327
"P000056",2019,"H0024",26,"employed","phone","interviewed",0,1530,1530,0,,107.330027,136.54327
"P000057",2019,"H0025",63,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",92.160302,
"P000058",2019,"H0025",65,"employed","phone","interviewed",0,2250,2250,0,,92.160302,
"P000059",2019,"H0025",73,"retired","web","interviewed",0,,0,0,"not_applicable",92.160302,
"P000060",2019,"H0026",24,"employed","phone","interviewed",0,690,690,0,,62.412887,79.400518
"P000061",2019,"H0026",55,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",62.412887,79.400518
"P000062",2019,"H0027",22,"education","web","interviewed",0,,0,0,"not_applicable",68.504672,
"P000063",2019,"H0027",20,"education","phone","interviewed",0,,0,0,"not_applicable",68.504672,87.150373
"P000064",2019,"H0028",30,"employed","phone","interviewed",0,2180,2180,0,,57.938079,73.70775
"P000065",2019,"H0028",53,"unemployed","web","interviewed",0,,0,0,"not_applicable",57.938079,
"P000066",2019,"H0029",31,"employed","web","interviewed",0,2600,2600,0,,74.061413,94.219556
"P000067",2019,"H0029",47,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",74.061413,94.219556
"P000068",2019,"H0030",53,"not_in_labor_force","web","interviewed",0,,0,0,"not_applicable",64.093709,81.538828
"P000069",2019,"H0030",42,"employed","web","interviewed",0,2000,2000,0,,64.093709,81.538828
"P000070",2019,"H0031",24,"employed","web","interviewed",0,3710,3710,0,,61.417277,78.13392
"P000071",2019,"H0031",75,"retired","web","interviewed",0,,0,0,"not_applicable",61.417277,
"P000072",2019,"H0032",78,"retired","web","interviewed",0,,0,0,"not_applicable",73.131938,93.037096
"P000073",2019,"H0032",69,"retired","phone","interviewed",0,,0,0,"not_applicable",73.131938,93.037096
"P000074",2019,"H0033",38,"employed","phone","interviewed",0,,2660,1,"no_answer",86.340314,109.840546
"P000075",2019,"H0034",53,"employed","web","interviewed",0,3910,3910,0,,71.770025,91.304495
"P000076",2019,"H0034",70,"retired","web","interviewed",0,,0,0,"not_applicable",71.770025,91.304495
"P000077",2019,"H0034",20,"employed","web","interviewed",0,2980,2980,0,,71.770025,91.304495
"P000078",2019,"H0034",74,"retired","phone","interviewed",0,,0,0,"not_applicable",71.770025,91.304495
"P000079",2019,"H0035",71,"retired","web","interviewed",0,,0,0,"not_applicable",74.940097,
"P000080",2019,"H0035",37,"employed","phone","interviewed",0,1220,1220,0,,74.940097,95.337402
"P000081",2019,"H0036",77,"retired","web","interviewed",0,,0,0,"not_applicable",76.244836,
"P000082",2019,"H0036",63,"unemployed","web","interviewed",0,,0,0,"not_applicable",76.244836,96.997266
"P000083",2019,"H0036",75,"retired","web","interviewed",0,,0,0,"not_applicable",76.244836,
