"pid","birth_year","sex_reported","education","sample_cohort","entry_wave","final_observed_wave","exit_reason","origin_hid"
"P000001",1952,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0001"
"P000002",1987,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0001"
"P000003",2001,"male","low","baseline_2019",2019,2022,"still_observed_end","H0001"
"P000004",1991,"female","low","baseline_2019",2019,2022,"still_observed_end","H0001"
"P000005",1964,"female","low","baseline_2019",2019,2022,"still_observed_end","H0002"
"P000006",1954,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0003"
"P000007",1998,"female","low","baseline_2019",2019,2022,"still_observed_end","H0003"
"P000008",1944,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0004"
"P000009",1971,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0004"
"P000010",1951,"female","low","baseline_2019",2019,2022,"still_observed_end","H0004"
"P000011",2001,"female","high","baseline_2019",2019,2022,"still_observed_end","H0005"
"P000012",1958,"female","low","baseline_2019",2019,2022,"still_observed_end","H0005"
"P000013",1963,"female","low","baseline_2019",2019,2022,"still_observed_end","H0005"
"P000014",1984,"female","high","baseline_2019",2019,2022,"still_observed_end","H0006"
"P000015",1950,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0007"
"P000016",1998,"female","high","baseline_2019",2019,2021,"panel_attrition","H0008"
"P000017",1952,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0008"
"P000018",1956,"male","high","baseline_2019",2019,2022,"still_observed_end","H0008"
"P000019",1948,"male","high","baseline_2019",2019,2022,"still_observed_end","H0008"
"P000020",1998,"male","medium","baseline_2019",2019,2021,"panel_attrition","H0009"
"P000021",1943,"male","high","baseline_2019",2019,2022,"still_observed_end","H0009"
"P000022",1972,"diverse","low","baseline_2019",2019,2022,"still_observed_end","H0009"
"P000023",1995,"male","medium","baseline_2019",2019,2021,"panel_attrition","H0009"
"P000024",1983,"female","high","baseline_2019",2019,2022,"still_observed_end","H0010"
"P000025",1991,"male","high","baseline_2019",2019,2022,"still_observed_end","H0010"
"P000026",1943,"female","high","baseline_2019",2019,2022,"still_observed_end","H0010"
"P000027",1975,"female","low","baseline_2019",2019,2022,"still_observed_end","H0010"
"P000028",1963,"male","high","baseline_2019",2019,2022,"still_observed_end","H0011"
"P000029",1988,"male","high","baseline_2019",2019,2022,"still_observed_end","H0011"
"P000030",1992,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0012"
"P000031",1953,"male","medium","baseline_2019",2019,2021,"panel_attrition","H0012"
"P000032",1957,"male","low","baseline_2019",2019,2022,"still_observed_end","H0013"
"P000033",1981,"male","medium","baseline_2019",2019,2021,"panel_attrition","H0013"
"P000034",1994,"male","high","baseline_2019",2019,2022,"still_observed_end","H0013"
"P000035",1964,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0014"
"P000036",1994,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0014"
"P000037",1971,"female","medium","baseline_2019",2019,2019,"panel_attrition","H0014"
"P000038",1974,"female","high","baseline_2019",2019,2022,"still_observed_end","H0015"
"P000039",1974,"male","low","baseline_2019",2019,2022,"still_observed_end","H0016"
"P000040",1959,"female","high","baseline_2019",2019,2020,"panel_attrition","H0017"
"P000041",1951,"female","high","baseline_2019",2019,2022,"still_observed_end","H0017"
"P000042",1958,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0018"
"P000043",2001,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0019"
"P000044",1996,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0019"
"P000045",1948,"female","high","baseline_2019",2019,2022,"still_observed_end","H0019"
"P000046",2001,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0019"
"P000047",1941,"female","high","baseline_2019",2019,2022,"still_observed_end","H0020"
"P000048",1960,"female","low","baseline_2019",2019,2022,"still_observed_end","H0020"
"P000049",1992,"male","low","baseline_2019",2019,2022,"still_observed_end","H0021"
"P000050",1941,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0022"
"P000051",1972,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0022"
"P000052",1968,"male","low","baseline_2019",2019,2022,"still_observed_end","H0022"
"P000053",1963,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0023"
"P000054",1988,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0023"
"P000055",1959,"male","low","baseline_2019",2019,2022,"still_observed_end","H0024"
"P000056",1993,"female","high","baseline_2019",2019,2022,"still_observed_end","H0024"
"P000057",1956,"female","low","baseline_2019",2019,2019,"panel_attrition","H0025"
"P000058",1954,"female","high","baseline_2019",2019,2019,"panel_attrition","H0025"
"P000059",1946,"female","high","baseline_2019",2019,2020,"panel_attrition","H0025"
"P000060",1995,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0026"
"P000061",1964,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0026"
"P000062",1997,"female","medium","baseline_2019",2019,2019,"panel_attrition","H0027"
"P000063",1999,"male","high","baseline_2019",2019,2022,"still_observed_end","H0027"
"P000064",1989,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0028"
"P000065",1966,"male","medium","baseline_2019",2019,2020,"panel_attrition","H0028"
"P000066",1988,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0029"
"P000067",1972,"male","high","baseline_2019",2019,2022,"still_observed_end","H0029"
"P000068",1966,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0030"
"P000069",1977,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0030"
"P000070",1995,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0031"
"P000071",1944,"female","low","baseline_2019",2019,2019,"panel_attrition","H0031"
"P000072",1941,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0032"
"P000073",1950,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0032"
"P000074",1981,"male","high","baseline_2019",2019,2022,"still_observed_end","H0033"
"P000075",1966,"female","high","baseline_2019",2019,2022,"still_observed_end","H0034"
"P000076",1949,"female","low","baseline_2019",2019,2022,"still_observed_end","H0034"
"P000077",1999,"male","high","baseline_2019",2019,2022,"still_observed_end","H0034"
"P000078",1945,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0034"
"P000079",1948,"male","high","baseline_2019",2019,2020,"panel_attrition","H0035"
"P000080",1982,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0035"
"P000081",1942,"male","medium","baseline_2019",2019,2021,"panel_attrition","H0036"
"P000082",1956,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0036"
"P000083",1944,"female","low","baseline_2019",2019,2021,"panel_attrition","H0036"
"P000084",1993,"female","high","baseline_2019",2019,2022,"still_observed_end","H0036"
"P000085",1960,"female","medium","baseline_2019",2019,2020,"panel_attrition","H0037"
"P000086",1995,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0038"
"P000087",1995,"male","high","baseline_2019",2019,2020,"panel_attrition","H0038"
"P000088",1987,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0038"
"P000089",1944,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0038"
"P000090",1975,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0039"
"P000091",1993,"female","medium","baseline_2019",2019,2020,"panel_attrition","H0040"
"P000092",1953,"male","high","baseline_2019",2019,2020,"panel_attrition","H0040"
"P000093",1947,"diverse","medium","baseline_2019",2019,2022,"still_observed_end","H0041"
"P000094",1942,"male","low","baseline_2019",2019,2022,"still_observed_end","H0041"
"P000095",1971,"male","low","baseline_2019",2019,2022,"still_observed_end","H0042"
"P000096",1971,"male","low","baseline_2019",2019,2020,"panel_attrition","H0043"
"P000097",1990,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0044"
"P000098",1991,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0045"
"P000099",1984,"female","high","baseline_2019",2019,2022,"still_observed_end","H0045"
"P000100",1960,"male","medium","baseline_2019",2019,2021,"panel_attrition","H0046"
"P000101",1995,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0047"
"P000102",1942,"female","low","baseline_2019",2019,2022,"still_observed_end","H0047"
"P000103",1990,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0048"
"P000104",1967,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0048"
"P000105",1943,"male","high","baseline_2019",2019,2019,"panel_attrition","H0049"
"P000106",1956,"female","high","baseline_2019",2019,2022,"still_observed_end","H0049"
"P000107",1954,"female","low","baseline_2019",2019,2022,"still_observed_end","H0050"
"P000108",1944,"female","low","baseline_2019",2019,2022,"still_observed_end","H0050"
"P000109",1993,"female","low","baseline_2019",2019,2022,"still_observed_end","H0051"
"P000110",1975,"female","high","baseline_2019",2019,2022,"still_observed_end","H0051"
"P000111",1995,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0051"
"P000112",1993,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0052"
"P000113",1988,"male","high","baseline_2019",2019,2019,"panel_attrition","H0052"
"P000114",1978,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0053"
"P000115",1951,"male","high","baseline_2019",2019,2022,"still_observed_end","H0053"
"P000116",1958,"male","high","baseline_2019",2019,2022,"still_observed_end","H0054"
"P000117",1986,"male","medium","baseline_2019",2019,2022,"still_observed_end","H0055"
"P000118",1965,"female","low","baseline_2019",2019,2022,"still_observed_end","H0055"
"P000119",1980,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0056"
"P000120",1976,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0056"
"P000121",1949,"female","high","baseline_2019",2019,2022,"still_observed_end","H0056"
"P000122",1950,"male","high","baseline_2019",2019,2022,"still_observed_end","H0057"
"P000123",1979,"female","medium","baseline_2019",2019,2021,"panel_attrition","H0058"
"P000124",1953,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0058"
"P000125",1994,"male","medium","baseline_2019",2019,2019,"panel_attrition","H0058"
"P000126",1974,"male","high","baseline_2019",2019,2022,"still_observed_end","H0058"
"P000127",1978,"female","high","baseline_2019",2019,2022,"still_observed_end","H0059"
"P000128",1969,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0059"
"P000129",1948,"male","low","baseline_2019",2019,2020,"panel_attrition","H0060"
"P000130",1950,"female","medium","baseline_2019",2019,2022,"still_observed_end","H0060"
"P000131",1975,"male","low","refreshment_2021",2021,2022,"still_observed_end","H0061"
"P000132",1975,"female","medium","refreshment_2021",2021,2022,"still_observed_end","H0061"
"P000133",2003,"female","low","refreshment_2021",2021,2021,"panel_attrition","H0061"
"P000134",1992,"male","medium","refreshment_2021",2021,2022,"still_observed_end","H0061"
"P000135",1998,"male","high","refreshment_2021",2021,2022,"still_observed_end","H0062"
"P000136",1997,"male","medium","refreshment_2021",2021,2021,"panel_attrition","H0062"
"P000137",1970,"female","high","refreshment_2021",2021,2022,"still_observed_end","H0063"
"P000138",1983,"female","low","refreshment_2021",2021,2022,"still_observed_end","H0064"
"P000139",1956,"female","high","refreshment_2021",2021,2022,"still_observed_end","H0064"
"P000140",1957,"male","medium","refreshment_2021",2021,2022,"still_observed_end","H0065"
"P000141",1998,"male","high","refreshment_2021",2021,2022,"still_observed_end","H0066"
"P000142",1979,"female","medium","refreshment_2021",2021,2022,"still_observed_end","H0066"
"P000143",1980,"male","medium","refreshment_2021",2021,2022,"still_observed_end","H0067"
"P000144",1961,"male","medium","refreshment_2021",2021,2022,"still_observed_end","H0067"
"P000145",1989,"female","high","refreshment_2021",2021,2022,"still_observed_end","H0067"
"P000146",1969,"male","low","refreshment_2021",2021,2021,"panel_attrition","H0068"
