"table_name","column_name","storage_type","nullable","key_role","description","allowed_values","unit"
"person_static","pid","string",FALSE,"primary_key","Stable opaque person identifier","",""
"person_static","birth_year","integer",FALSE,"","Invented year of birth","","year"
"person_static","sex_reported","string",FALSE,"","Broad invented reported-sex category","female|male|diverse",""
"person_static","education","string",FALSE,"","Simplified education category","low|medium|high",""
"person_static","sample_cohort","string",FALSE,"","Panel sample entry cohort","baseline_2019|refreshment_2021",""
"person_static","entry_wave","integer",FALSE,"","First observed wave","2019|2021","year"
"person_static","final_observed_wave","integer",FALSE,"","Last observed wave under monotone attrition","2019|2020|2021|2022","year"
"person_static","exit_reason","string",FALSE,"","Observation-window status","panel_attrition|still_observed_end",""
"person_static","origin_hid","string",FALSE,"foreign_key","Household identifier at panel entry","",""
"household_wave","hid","string",FALSE,"primary_key_part","Stable opaque household identifier","",""
"household_wave","wave","integer",FALSE,"primary_key_part","Survey wave","2019|2020|2021|2022","year"
"household_wave","region4","string",FALSE,"","Invented broad region","north|east|south|west",""
"household_wave","hhsize_reported","integer",FALSE,"","Linked participating-person count","","persons"
"household_wave","response_status","string",FALSE,"","Household-wave participation status","interviewed",""
"household_wave","household_origin","string",FALSE,"","How this household entered the panel","baseline|refreshment|split_off",""
"household_wave","move_event_flag","integer",FALSE,"","One when a split-off household first appears","0|1",""
"household_wave","hh_xs_weight","double",FALSE,"","Simplified cross-sectional household weight","","invented population units"
"person_wave","pid","string",FALSE,"primary_key_part","Stable opaque person identifier","",""
"person_wave","wave","integer",FALSE,"primary_key_part","Survey wave","2019|2020|2021|2022","year"
"person_wave","hid","string",FALSE,"foreign_key","Current household identifier","",""
"person_wave","age","integer",FALSE,"","Wave minus invented birth year","","years"
"person_wave","employment_status","string",FALSE,"","Simplified annual status","employed|unemployed|education|retired|not_in_labor_force",""
"person_wave","response_mode","string",FALSE,"","Invented questionnaire mode","web|phone|paper",""
"person_wave","response_status","string",FALSE,"","Person-wave participation status","interviewed",""
"person_wave","moved_since_prior_wave","integer",FALSE,"","One in the wave current household changes","0|1",""
"person_wave","income_raw","double",TRUE,"","Reported monthly labor income before imputation","","invented currency units"
"person_wave","income_final","double",FALSE,"","Analysis income after documented teaching substitution","","invented currency units"
"person_wave","income_imp","integer",FALSE,"","One exactly when eligible raw income was imputed","0|1",""
"person_wave","income_missing_code","string",TRUE,"","Why raw income is absent","no_answer|not_applicable",""
"person_wave","person_xs_weight","double",FALSE,"","Simplified cross-sectional person weight","","invented population units"
"person_wave","long_weight_2019_2022","double",TRUE,"","Baseline complete-panel longitudinal weight","","invented population units"
"questionnaire","wave","integer",FALSE,"primary_key_part","Survey wave","2019|2020|2021|2022","year"
"questionnaire","item_id","string",FALSE,"primary_key_part","Wave-stable item identifier","",""
"questionnaire","instrument","string",FALSE,"","Questionnaire instrument","person",""
"questionnaire","variable","string",FALSE,"","Destination analytical variable","",""
"questionnaire","value_type","string",FALSE,"","Declared response type","categorical|integer|double",""
"questionnaire","allowed_codes","string",TRUE,"","Pipe-delimited categorical codes","",""
"questionnaire","minimum","double",TRUE,"","Inclusive numeric minimum","",""
"questionnaire","maximum","double",TRUE,"","Inclusive numeric maximum","",""
"questionnaire","required_if","string",FALSE,"","Inspectable eligibility expression","",""
"questionnaire","label","string",FALSE,"","Source-free teaching label","",""
"questionnaire","metadata_version","string",FALSE,"","Questionnaire metadata version","v1|v2",""
"response","pid","string",FALSE,"foreign_key_part","Stable opaque person identifier","",""
"response","wave","integer",FALSE,"foreign_key_part","Survey wave","2019|2020|2021|2022","year"
"response","item_id","string",FALSE,"foreign_key_part","Questionnaire item identifier","",""
"response","value","string",TRUE,"","Response serialized as text","",""
"response","answer_status","string",FALSE,"","Observed missing or ineligible status","answered|no_answer|not_applicable",""
"response","missing_code","string",TRUE,"","Declared missing reason","no_answer|not_applicable",""
"response","source_mode","string",FALSE,"","Invented response mode","web|phone|paper",""
"response","answered","integer",FALSE,"","One only for a supplied value","0|1",""
